filename,model,time (sec),Precision %,Recall %,F1 %
miller2_both_50_70_ac1_av,deberta_base,15.556984338909388,76.08695486767489,99.99999714285724,86.4197018747421
miller2_both_50_1_ac4_av,deberta_base,4.681158965919167,11.111109876543349,99.99990000010001,19.999978000004205
miller2_both_50_30_ac5_av,deberta_base,8.561423832084984,18.86792417230332,66.66666222222251,29.411729455056612
miller2_both_50_30_ac4_av,deberta_base,8.723398034926504,49.999998214285775,93.33332711111153,65.11623061117257
miller2_vertical_70_ac3_av,deberta_base,15.990982850082219,42.25352053164056,85.71428326530621,56.60372828412123
miller2_vertical_30_ac3_av,deberta_base,9.025881560984999,32.49999918750002,86.66666088888928,47.27268588433013
miller2_vertical_50_ac1_av,deberta_base,12.121459499001503,72.72727052341605,95.99999616000015,82.75856878718724
miller2_vertical_50_ac2_av,deberta_base,11.877977724652737,70.58823321799315,95.99999616000015,81.35588060904973
miller2_both_50_50_ac3_av,deberta_base,11.672484557144344,39.99999927272729,87.99999648000014,54.99995565628326
miller2_vertical_30_ac5_av,deberta_base,9.11995975812897,26.086955954631392,79.99999466666704,39.344223918335686
miller2_vertical_30_ac2_av,deberta_base,8.337912590708584,49.999998214285775,93.33332711111153,65.11623061117257
miller2_vertical_1_ac1_av,deberta_base,4.826396015007049,33.333322222225924,99.99990000010001,49.99993750002813
miller2_both_50_1_ac3_av,deberta_base,4.58177229296416,0.0,0.0,0.0
miller2_vertical_70_ac5_av,deberta_base,15.746208599302918,34.444444061728404,88.5714260408164,49.59995888643249
miller2_both_50_30_ac3_av,deberta_base,8.89470291417092,32.43243155588023,79.99999466666704,46.153803328438265
miller2_both_50_1_ac5_av,deberta_base,4.677400171756744,0.0,0.0,0.0
miller2_vertical_30_ac1_av,deberta_base,8.822979487944394,74.99999625000018,99.99999333333378,85.71423183676285
miller2_both_50_50_ac5_av,deberta_base,11.330226669088006,40.38461460798818,83.99999664000013,54.545409276472824
miller2_vertical_30_ac4_av,deberta_base,8.420528664253652,58.33333090277788,93.33332711111153,71.79482077583653
miller2_both_50_1_ac2_av,deberta_base,4.619176464620978,16.666663888889353,99.99990000010001,28.571395918376098
miller2_vertical_1_ac3_av,deberta_base,4.726261754985899,0.0,0.0,0.0
miller2_both_50_50_ac2_av,deberta_base,12.73852166859433,74.19354599375659,91.99999632000015,82.14280478319307
miller2_vertical_50_ac3_av,deberta_base,11.628111088182777,35.849055927376305,75.99999696000012,48.717903911938706
miller2_both_50_70_ac2_av,deberta_base,15.483002956025302,68.08510493435948,91.42856881632662,78.04872965499796
miller2_vertical_70_ac1_av,deberta_base,16.02667438518256,82.49999793750005,94.28571159183682,87.99994787558377
miller2_both_50_50_ac1_av,deberta_base,12.040668113622814,75.75757346189171,99.99999600000015,86.20684453034899
miller2_vertical_70_ac2_av,deberta_base,15.9151403401047,65.95744540516074,88.5714260408164,75.60970532424344
miller2_vertical_1_ac4_av,deberta_base,4.6817232221364975,11.111109876543349,99.99990000010001,19.999978000004205
miller2_vertical_70_ac4_av,deberta_base,16.06797655997798,52.3809515495087,94.28571159183682,67.3468914827467
miller2_vertical_50_ac5_av,deberta_base,12.031880198977888,26.315789127423827,79.99999680000013,39.60392236058743
miller2_vertical_1_ac2_av,deberta_base,4.650446906220168,0.0,0.0,0.0
miller2_vertical_1_ac5_av,deberta_base,4.73438018001616,2.941176384083048,99.99990000010001,5.7142798367350265
miller2_both_50_30_ac1_av,deberta_base,8.918734494131058,74.99999625000018,99.99999333333378,85.71423183676285
miller2_both_50_1_ac1_av,deberta_base,4.671988689806312,24.99999375000156,99.99990000010001,39.9999520000176
miller2_both_50_70_ac5_av,deberta_base,15.843513905070722,36.14457787777617,85.71428326530621,50.847415038815946
miller2_both_50_50_ac4_av,deberta_base,11.611886762082577,51.06382870076961,95.99999616000015,66.66661948305531
miller2_both_50_30_ac2_av,deberta_base,8.77709285961464,69.99999650000018,93.33332711111153,79.99994644900971
miller2_vertical_50_ac4_av,deberta_base,12.043862396851182,58.536583938132104,95.99999616000015,72.727223461922
miller2_both_50_70_ac4_av,deberta_base,16.010614700615406,69.38775368596421,97.14285436734701,80.95233041386139
miller2_both_50_70_ac3_av,deberta_base,16.23266069870442,41.66666608796297,85.71428326530621,56.07472128573616
