filename,model,time (sec),Precision %,Recall %,F1 %
prospect_horizontal_0_ac4_ev,deberta_base,5.605888177175075,74.07407133058996,90.90908677685968,81.63260024992597
prospect_horizontal_0_ac3_ev,deberta_base,5.170991085935384,60.86956257088858,63.63636074380178,62.222169481521746
prospect_horizontal_0_ac2_av,deberta_base,5.192650284152478,89.99999550000022,81.81817809917372,85.71423174606096
prospect_horizontal_50_ac2_ev,deberta_base,5.27004404226318,89.99999550000022,81.81817809917372,85.71423174606096
prospect_horizontal_0_ac5_ev,deberta_base,5.202008228749037,58.06451425598341,81.81817809917372,67.92447718052598
prospect_horizontal_50_ac4_ev,deberta_base,5.153315347153693,74.99999687500014,81.81817809917372,78.26081625712082
prospect_horizontal_50_ac3_av,deberta_base,5.485249996185303,65.21738846880919,68.18181508264477,66.66661372843265
prospect_horizontal_50_ac3_ev,deberta_base,5.207551357336342,66.666663888889,72.72726942148775,69.56516446128356
prospect_horizontal_0_ac4_av,deberta_base,5.227548914030194,86.36363243801671,86.36363243801671,86.36358243804565
prospect_horizontal_50_ac2_av,deberta_base,5.47357770614326,84.99999575000021,77.27272376033073,80.95232721091527
prospect_horizontal_100_ac2_av,deberta_base,5.477292404975742,90.47618616780065,86.36363243801671,88.37203893999599
prospect_horizontal_100_ac5_ev,deberta_base,5.155750832054764,56.24999824218756,81.81817809917372,66.66661591224344
prospect_horizontal_0_ac5_av,deberta_base,5.260480930097401,58.06451425598341,81.81817809917372,67.92447718052598
prospect_horizontal_100_ac4_ev,deberta_base,5.165238065645099,79.1666633680557,86.36363243801671,82.60864215503975
prospect_horizontal_100_ac1_av,deberta_base,5.5523541579023,99.99999545454565,99.99999545454565,99.99994545457065
prospect_horizontal_50_ac4_av,deberta_base,5.527261713985354,75.99999696000012,86.36363243801671,80.85101059305933
prospect_horizontal_0_ac3_av,deberta_base,5.209836202207953,60.86956257088858,63.63636074380178,62.222169481521746
prospect_horizontal_50_ac5_ev,deberta_base,5.027394742239267,58.06451425598341,81.81817809917372,67.92447718052598
prospect_horizontal_50_ac1_av,deberta_base,5.324614927172661,99.99999545454565,99.99999545454565,99.99994545457065
prospect_horizontal_100_ac4_av,deberta_base,5.346384231932461,79.9999960000002,72.72726942148775,76.19042267576978
prospect_horizontal_100_ac3_av,deberta_base,5.3349583386443555,59.25925706447196,72.72726942148775,65.30607030407755
prospect_horizontal_50_ac1_ev,deberta_base,5.272151158191264,99.99999545454565,99.99999545454565,99.99994545457065
prospect_horizontal_100_ac5_av,deberta_base,5.4898110358044505,53.12499833984381,77.27272376033073,62.962912345716006
prospect_horizontal_100_ac3_ev,deberta_base,5.192914085928351,61.53845917159772,72.72726942148775,66.66661423614818
prospect_horizontal_100_ac2_ev,deberta_base,5.225721280090511,84.99999575000021,77.27272376033073,80.95232721091527
prospect_horizontal_0_ac2_ev,deberta_base,5.171002127230167,83.33332986111125,90.90908677685968,86.95646805295885
prospect_horizontal_0_ac1_ev,deberta_base,5.1496743420138955,99.99999545454565,99.99999545454565,99.99994545457065
prospect_horizontal_0_ac1_av,deberta_base,5.2152351178228855,99.99999545454565,99.99999545454565,99.99994545457065
prospect_horizontal_50_ac5_av,deberta_base,5.511711035389453,54.54545289256204,81.81817809917372,65.4544950744153
prospect_horizontal_100_ac1_ev,deberta_base,5.138191368896514,99.99999545454565,99.99999545454565,99.99994545457065
