filename,model,time (sec),Precision %,Recall %,F1 %
DE_NRW,deberta_base,0.5582331628538668,57.142848979593,79.9999840000032,66.66660694448127
BE,deberta_base,0.986453230958432,99.99996666667778,59.9999880000024,74.99993437503242
DE_LS,deberta_base,0.33115806616842747,99.99996666667778,59.9999880000024,74.99993437503242
SE,deberta_base,0.5830810749903321,99.99996666667778,59.9999880000024,74.99993437503242
EE,deberta_base,0.39301100792363286,99.99996666667778,59.9999880000024,74.99993437503242
SK,deberta_base,0.31449140002951026,99.99996666667778,74.9999812500047,85.71421224493237
RO,deberta_base,0.7825151267461479,59.9999880000024,59.9999880000024,59.999938000044075
DK,deberta_base,0.3942442238330841,99.99996666667778,59.9999880000024,74.99993437503242
FR,deberta_base,0.294505275785923,99.99996666667778,74.9999812500047,85.71421224493237
LV,deberta_base,0.46194422198459506,99.99996666667778,59.9999880000024,74.99993437503242
LT,deberta_base,0.25480282213538885,99.99996666667778,74.9999812500047,85.71421224493237
SI,deberta_base,0.36233997577801347,99.99996666667778,59.9999880000024,74.99993437503242
NL,deberta_base,0.29599206941202283,99.99996666667778,59.9999880000024,74.99993437503242
ES_NA,deberta_base,0.8153457557782531,49.99999166666805,59.9999880000024,54.54539504136905
HR,deberta_base,1.0075973882339895,74.9999812500047,59.9999880000024,66.6666024691754
AT,deberta_base,0.5850778929889202,99.99996666667778,59.9999880000024,74.99993437503242
PT,deberta_base,0.5862840688787401,99.99996666667778,59.9999880000024,74.99993437503242
